,time_sum
0,0.253333332
1,0.681944444
2,1.069722221
3,1.466111112
4,1.715277781
5,1.761111115
6,2.218055558
7,2.444722222
8,2.55
9,2.726666666
10,2.799722221
11,2.935555553
12,3.100555553
13,3.223888887
14,3.520833331
15,3.722222218
16,3.908611104
17,3.96277777
18,3.99277777
19,4.014444437
20,4.079722214
21,4.122222214
22,4.228055547
23,4.317777769
24,4.411111103
25,4.572499992
26,4.853055547
27,5.054444439
28,5.199166661
29,5.286666661
30,5.528888883
31,5.676388882
32,5.779722216
33,5.931111103
34,6.076944435
35,6.271666657
36,6.357777767
37,6.600555546
38,6.62777777
39,6.713888879
40,6.878333326
41,7.020833324
42,7.074722212
43,7.087777768
44,7.109722212
45,7.295833326
46,7.381111105
47,7.535277771
48,7.697777769
49,8.349722213
50,8.582777768
51,8.840833325
52,8.991666658
53,9.126111102
54,9.144166658
55,9.183611102
56,9.231666657
57,9.299444434
58,9.366944434
59,9.613888878
60,9.638888878
61,9.650833323
62,9.95888888
63,10.04833332
64,10.11805555
65,10.13638888
66,10.16833332
67,10.19333332
68,10.20833332
69,10.27472221
70,10.35777777
71,10.44555555
72,10.5161111
73,10.51833332
74,10.51999999
75,10.52166666
76,10.54194444
77,10.60499999
78,10.70555555
79,10.76444443
80,10.81888888
81,10.82249999
82,10.85999999
83,11.23444443
84,11.27305555
85,11.31166666
86,11.33305555
87,11.37249999
88,11.40916666
89,11.48833332
90,11.65499999
91,11.70277777
92,11.83527777
93,11.86527777
94,11.89527777
95,11.92527777
96,12.03194443
97,12.10999999
98,12.28833332
99,12.32527777
100,12.36277777
101,12.43916665
102,12.61972221
103,12.81472221
104,12.90083332
105,13.0511111
106,13.4636111
107,14.03972221
108,15.45416665
109,15.84277776
110,15.89277776
111,15.99583332
112,16.05972221
113,16.12027776
114,16.22805554
115,16.27444443
116,16.34166665
117,16.77999998
118,17.07916665
119,17.51055554
120,17.77555554
121,17.93833332
122,18.00638887
123,18.03527776
124,18.11722221
125,18.15333332
126,18.2336111
127,18.36805554
128,18.4936111
129,18.59999999
130,18.71166665
131,18.84027777
132,18.96055554
133,19.07805555
134,19.18749999
135,19.24444443
136,19.29249999
137,19.4061111
138,19.45916666
139,19.51222221
140,19.53694444
141,19.54527777
142,19.56416666
143,19.57416666
144,19.59388888
145,19.70583333
146,19.8161111
147,19.91555555
148,20.01749999
149,20.13277777
150,20.14499999
151,20.27194444
152,20.31972221
153,20.40277777
154,20.44388888
155,20.47777777
156,20.52083332
157,20.55055555
158,20.62972221
159,20.64333332
160,20.7036111
161,20.71416666
162,20.83999999
163,20.98388888
164,21.1561111
165,21.26999999
166,21.32638888
167,21.39027777
168,21.45222222
169,21.48666666
170,21.51472222
171,21.54472222
172,21.55999999
173,21.60888888
174,21.63777777
175,21.66777777
176,21.69666666
177,21.74833333
178,21.77805555
179,21.79972222
180,21.8261111
181,21.85055555
182,21.87749999
183,22.05444444
184,22.20305555
185,22.28861111
186,22.36861111
187,22.38555555
188,22.40194444
189,22.45444444
190,22.49666666
191,22.51694444
192,22.54249999
193,22.55722222
194,22.56111111
195,22.56499999
196,22.56944444
197,22.57277777
198,22.57666666
199,22.58305555
200,22.58833333
201,22.60361111
202,22.61694444
203,22.63194444
204,22.64694444
205,23.02333333
206,23.08027777
207,23.09
208,23.12972222
209,23.15472222
210,23.21027777
211,23.32972222
212,23.58444444
213,23.68555556
214,23.75694444
215,23.88166667
216,24.03972222
217,24.17277778
218,24.2675
219,24.33222222
220,24.43444445
221,24.45694445
222,24.48444445
223,24.51277778
