stop_id_modified_from,stop_id_modified_to,time,speed,number_of_trips
36156,38709,0.027222222,14.47956475,9
38709,2321,0.032222222,12.23273572,22
2321,38783,0.058333333,6.7571302,19
38783,38784,0.033611111,11.72725073,23
38784,38785,0.058333333,6.7571302,25
38785,844,0.040555556,9.719159715,19
844,38786,0.037222222,10.58953241,10
38786,38787,0.037222222,10.58953241,14
38787,38788,0.043888889,8.980995762,18
38788,38789,0.023888889,24.77463621,18
38789,38790,0.019444444,30.43741104,18
38790,38791,0.019722222,30.00871476,17
38791,38792,0.031666667,18.68963773,20
38792,38793,0.028611111,20.68561876,23
38793,930,0.014444444,40.97343826,9
930,812,0.02,29.59192672,10
812,933,0.016111111,36.73480584,13
933,4030,0.019444444,30.43741104,1
4030,38912,0.019444444,30.43741104,2
38912,38913,0.020555556,28.79214429,2
38913,1108,0.027222222,21.74100756,2
1108,1110,0.020277778,29.18655754,2
1110,1114,0.023055556,25.67010461,3
1114,1116,0.022777778,25.98315491,3
1116,1374,0.016388889,36.11218151,6
1374,38907,0.017777778,33.29091714,3
38907,38848,0.028611111,20.68561876,9
38848,38906,0.018611111,31.80027965,16
38906,38905,0.018611111,31.80027965,16
38905,39123,0.020277778,29.18655754,15
39123,38849,0.016944444,34.92817672,14
38849,38850,0.018055556,41.64797705,13
38850,38851,0.019166667,39.23360185,10
38851,38852,0.02,37.5988691,11
38852,38853,0.018055556,41.64797705,10
38853,38423,0.019444444,38.67312338,10
38423,38854,0.018611111,40.40475509,10
38854,38855,0.017777778,42.2987272,10
38457,736,0.021388889,35.15738391,12
736,39182,0.018333333,41.01694885,12
39182,39150,0.021388889,35.15738391,11
39150,39030,0.017222222,43.66320338,11
39030,38769,0.019722222,38.12843106,11
38769,1811,0.017777778,42.2987272,3
1811,38771,0.016111111,46.67445851,3
38771,38772,0.018055556,41.64797705,10
38772,38773,0.018888889,39.81056704,11
38773,38774,0.018888889,39.81056704,10
38774,38775,0.018888889,39.81056704,11
38775,38776,0.019444444,38.67312338,24
38776,38777,0.010277778,46.16620292,32
38777,38778,0.023055556,20.5801146,32
38778,38965,0.018888889,25.1198461,32
38965,38715,0.017222222,27.55079947,3
38715,38714,0.024444444,19.41079064,3
38714,38713,0.0125,37.95887878,5
38713,39681,0.0125,37.95887878,5
39681,977,0.024444444,19.41079064,4
977,39227,0.016388889,28.95168701,7
39227,467,0.017222222,27.55079947,9
467,39306,0.021111111,22.47565202,2
39306,39564,0.021111111,22.47565202,2
39564,39565,0.025833333,18.36719964,36
39565,34350,0.014166667,33.49312754,1
39789,33450,0.021666667,21.8993528,1
33450,32570,0.023888889,19.86220392,1
32570,34920,0.023888889,19.86220392,2
34920,32318,0.010555556,44.95130192,2
32318,31602,0.018055556,26.27922312,2
31602,31830,0.023055556,20.5801146,3
31830,35127,0.018611111,25.49476948,3
35127,31435,0.018611111,25.49476948,4
31435,33165,0.021666667,21.8993528,3
33165,38457,0.008333333,35.10745108,1
38769,38770,0.006944444,42.12894231,7
38965,38897,0.010833333,27.00573135,12
38897,38898,0.007777778,37.61512358,12
38898,32419,0.007777778,37.61512358,5
32419,38716,0.006944444,42.12894231,4
38716,36502,0.006388889,45.79232487,1
38839,38766,0.006388889,45.79232487,1
38766,38967,0.006944444,42.12894231,1
38967,38750,0.007777778,37.61512358,9
38750,38751,0.007222222,40.50859703,24
38751,38752,0.008888889,32.91323366,6
38752,38753,0.009444444,30.97716294,6
38753,34287,0.009444444,30.97716294,2
34287,33835,0.009444444,30.97716294,2
33835,39185,0.007777778,37.61512358,2
39185,39162,0.006666667,43.88430991,6
39162,38975,0.008611111,33.97495174,11
38975,39455,0.008611111,33.97495174,2
38977,38978,0.01,29.25620807,8
38978,33089,0.008055556,36.31804939,4
33089,32754,0.010833333,27.00573135,3
32754,35883,0.008611111,33.97495174,1
35883,33006,0.008611111,33.97495174,3
33006,36031,0.008333333,35.10745108,3
36031,39210,0.001944444,97.21575229,3
38794,37976,0.001944444,97.21575229,8
37976,2074,0.001388889,136.1020112,8
2074,38796,0.002222222,85.06377232,12
38796,38797,0.001666667,113.4183291,23
38797,39098,0.001944444,97.21575229,23
39098,38798,0.001944444,97.21575229,19
38798,39097,0.002777778,68.0510056,21
39097,39099,0.002777778,68.0510056,27
39099,39096,0.0025,75.6122345,28
39096,39095,0.0025,75.6122345,37
39095,38804,0.003888889,48.60786365,34
467,35809,0.001944444,97.21575229,4
35809,38946,0.001944444,97.21575229,7
38946,39226,0.001944444,97.21575229,6
39226,39225,0.001388889,136.1020112,2
39225,39224,0.001944444,97.21575229,6
39224,39223,0.001944444,97.21575229,7
39223,39445,0.001944444,97.21575229,6
39445,39276,0.030555556,35.56516865,34
39276,39277,0.034722222,31.29734907,31
39277,39372,0.032222222,33.72559169,24
39372,39278,0.041111111,26.43357175,24
39278,39279,0.041111111,26.43357175,12
39279,39280,0.032777778,33.15397104,13
39280,39281,0.032777778,33.15397104,10
38794,37062,0.039166667,27.74587642,10
37062,38795,0.042222222,25.73795151,3
38946,469,0.036388889,29.86388242,3
39281,39282,0.014444444,45.75913167,11
39282,39283,0.015555556,42.49061975,10
39283,39373,0.015277778,43.26317708,10
39373,39507,0.015555556,42.49061975,12
39507,39621,0.015555556,42.49061975,9
39621,39657,0.013888889,47.5894951,8
39657,772,0.013888889,47.5894951,9
772,39285,0.014722222,44.89575113,10
39278,39363,0.014722222,44.89575113,11
39363,39362,0.018333333,36.05264874,12
39362,1244,0.013888889,47.5894951,11
39443,39360,0.015,44.06434766,4
39360,1236,0.015,44.06434766,10
34433,33151,0.014166667,46.65636702,1
33151,34357,0.006666667,51.81997919,2
39377,37871,0.006944444,49.74718569,10
37871,39419,0.006944444,49.74718569,10
39419,33386,0.006666667,51.81997919,1
37985,37790,0.0075,46.06220603,10
