stop_id_modified_from,stop_id_modified_to,time_modified,speed,number_of_trips,average_time
36156,38709,0.031388889,12.55749849,8,0.031666667
38709,2321,0.0325,12.12818234,24,0.017858796
2321,38783,0.0325,12.12818234,22,0.017626263
38783,38784,0.031388889,12.55749849,31,0.012786738
38784,38785,0.034444444,11.44352703,33,0.007550505
38785,844,0.034444444,11.44352703,23,0.001992754
844,38786,0.028333333,13.91173873,14,0.032638889
38786,38787,0.028333333,13.91173873,15,0.015111111
38787,38788,0.015277778,38.73852169,16,0.006579861
38788,38789,0.015277778,38.73852169,17,0.010392157
38789,38790,0.017222222,34.36481857,17,0.004297386
38790,38791,0.0175,33.81934482,17,0.007990196
38791,38792,0.019166667,30.87853169,16,0.0103125
38792,38793,0.013888889,42.61237414,17,0.007254902
38793,930,0.020555556,28.79214429,12,0.02474537
930,812,0.018611111,31.80027965,13,0.015491453
812,933,0.0175,33.81934482,12,0.015532407
933,4030,0.014444444,40.97343826,2,0.027083333
4030,38912,0.026388889,22.42756542,3,0.01
38912,38913,0.018055556,32.77874879,3,0.007222222
38913,1108,0.018055556,32.77874879,3,0.021759259
1108,1110,0.018611111,31.80027965,4,0.010625
1110,1114,0.019722222,30.00871476,5,0.021166667
1114,1116,0.018055556,32.77874879,5,0.017944444
1116,1374,0.018055556,32.77874879,7,0.013333333
1374,38907,0.014722222,40.20035389,6,0.026898148
38907,38848,0.014722222,40.20035389,10,0.028055556
38848,38906,0.023611111,25.06610275,12,0.016782408
38906,38905,0.020555556,28.79214429,13,0.011132479
38905,39123,0.015833333,37.37927664,11,0.007954545
39123,38849,0.015833333,37.37927664,10,0.024222222
38849,38850,0.016944444,34.92817672,10,0.01475
38850,38851,0.018333333,41.01694885,10,0.010333333
38851,38852,0.018333333,41.01694885,9,0.016820987
38852,38853,0.020277778,37.08381569,8,0.018229166
38853,38423,0.016388889,45.88336537,8,0.024340278
38423,38854,0.019166667,39.23360185,9,0.009567901
38854,38855,0.020833333,36.09491491,9,0.026975309
38457,736,0.015833333,47.49330933,13,0.002094017
736,39182,0.015833333,47.49330933,13,0.006623931
39182,39150,0.019444444,38.67312338,10,0.016444445
39150,39030,0.016388889,45.88336537,11,0.012954545
39030,38769,0.018611111,40.40475509,13,0.004145299
38769,1811,0.018055556,41.64797705,2,0.006527778
1811,38771,0.0175,42.97013611,2,0.010972222
38771,38772,0.0175,42.97013611,12,0.01550926
38772,38773,0.0175,42.97013611,11,0.007752525
38773,38774,0.0175,42.97013611,12,0.012847222
38774,38775,0.0175,42.97013611,10,0.01625
38775,38776,0.015555556,48.34140174,21,0.031044974
38776,38777,0.017222222,43.66320338,27,0.008631687
38777,38778,0.017222222,43.66320338,22,0.011729798
38778,38965,0.016111111,46.67445851,24,0.006284722
38965,38715,0.016666667,45.11864201,3,0.044814815
38715,38714,0.034166667,13.88739454,3,0.006018519
38714,38713,0.010555556,44.95130192,4,0.009861111
38713,39681,0.010555556,44.95130192,4,0.012013889
39681,977,0.011666667,40.6702261,6,0.011296296
977,39227,0.013611111,34.86019508,6,0.01125
39227,467,0.015555556,30.50266957,8,0.030868055
467,39306,0.013611111,34.86019508,2,0.0125
39306,39564,0.013611111,34.86019508,2,0.005972223
39564,39565,0.01,47.44859847,24,0.012835648
39565,34350,0.010277778,46.16620292,4,0.02236111
34350,39789,0.009166667,51.76210554,5,0.013944446
39789,33450,0.035,13.55674242,1,0.01833333
32570,34920,0.011111111,42.70373905,1,0.03194444
34920,32318,0.011111111,42.70373905,1,0.025
32318,31602,0.011666667,40.6702261,1,0.015
31602,31830,0.01,47.44859847,7,0.009484127
31830,35127,0.011111111,42.70373905,7,0.01186508
35127,31435,0.010277778,46.16620292,5,0.017555556
31435,33165,0.01,47.44859847,5,0.01411111
39182,33111,0.011388889,41.66218362,1,0.00222222
33111,32381,0.010833333,43.79870763,1,0.00166667
32381,33656,0.010833333,43.79870763,1,0.00166667
38769,38770,0.01,47.44859847,9,0.002253087
38965,38897,0.009722222,48.80427383,10,0.006305555
38897,38898,0.010833333,43.79870763,10,0.010055556
38898,32419,0.010277778,46.16620292,5,0.011777776
32419,38716,0.013611111,34.86019508,6,0.009074075
38716,36502,0.013611111,34.86019508,1,0.00361111
38967,38750,0.013611111,34.86019508,9,0.004166667
38750,38751,0.010555556,44.95130192,31,0.012078853
38751,38752,0.008055556,58.9017052,5,0.007722224
38752,38753,0.0075,39.00827742,5,0.007722222
38753,34287,0.006944444,42.12894231,2,0.010694445
34287,33835,0.006944444,42.12894231,3,0.013148147
33835,39185,0.007777778,37.61512358,3,0.012222223
39185,39162,0.008055556,36.31804939,6,0.013194443
39162,38975,0.006388889,45.79232487,10,0.016666667
38975,39455,0.008055556,36.31804939,1,0.04777778
38977,38978,0.008055556,36.31804939,6,0.022083333
38978,33089,0.006944444,42.12894231,1,0.03
33089,32754,0.007222222,40.50859703,1,0.03
32754,35883,0.006666667,43.88430991,1,0.03
35883,33006,0.01,29.25620807,3,0.035555553
33006,36031,0.0075,39.00827742,3,0.02601852
36031,39210,0.0075,39.00827742,4,0.044583332
38794,37976,0.008055556,36.31804939,4,0.009236113
37976,2074,0.006944444,42.12894231,5,0.0075
2074,38796,0.006666667,43.88430991,9,0.008487653
38796,38797,0.008055556,36.31804939,18,0.010030864
38797,39098,0.008055556,36.31804939,19,0.010263158
39098,38798,0.008055556,36.31804939,14,0.006150794
38798,39097,0.007222222,40.50859703,11,0.013661616
39097,39099,0.007222222,40.50859703,22,0.01875
39099,39096,0.007222222,40.50859703,20,0.028805556
39096,39095,0.007777778,37.61512358,27,0.052386831
39095,38804,0.007777778,37.61512358,28,0.013878968
467,35809,0.008055556,36.31804939,5,0.01
35809,38946,0.007222222,40.50859703,7,0.014722223
38946,39226,0.007222222,40.50859703,5,0.012777778
39226,39225,0.0075,39.00827742,4,0.015138888
39225,39224,0.007777778,37.61512358,7,0.015396826
39224,39223,0.007777778,37.61512358,5,0.009277778
39223,39445,0.007222222,40.50859703,5,0.013444444
39445,39276,0.007777778,37.61512358,21,0.020873016
39276,39277,0.003055556,61.8645465,19,0.015745614
39277,39372,0.003055556,61.8645465,19,0.022704678
39372,39278,0.001388889,136.1020112,16,0.0165625
39278,39279,0.001666667,113.4183291,10,0.016277778
39279,39280,0.001944444,97.21575229,9,0.007561728
39280,39281,0.001666667,113.4183291,7,0.004126984
38794,37062,0.003611111,52.34693319,9,0.009104939
37062,38795,0.001388889,136.1020112,2,0.018055555
38946,469,0.001388889,136.1020112,5,0.016055556
39281,39282,0.005,37.80611725,11,0.012222222
39282,39283,0.001944444,97.21575229,12,0.010462963
39283,39373,0.001944444,97.21575229,10,0.010638889
39373,39507,0.001666667,113.4183291,11,0.010151515
39507,39621,0.001666667,113.4183291,10,0.012861112
39621,39657,0.001388889,136.1020112,10,0.012027777
39657,772,0.001388889,136.1020112,9,0.013055557
772,39285,0.001388889,136.1020112,9,0.012160493
39278,39363,0.001111111,170.1275446,4,0.01423611
39363,39362,0.001666667,113.4183291,6,0.00800926
39362,1244,0.002222222,85.06377232,6,0.018935185
39443,39360,0.002222222,85.06377232,4,0.01326389
39360,1236,0.001944444,97.21575229,5,0.01061111
34295,35962,0.001111111,170.1275446,1,0.02472223
34433,33151,0.03,36.22378342,1,0.00833333
33151,34357,0.033333333,32.6014054,1,0.01888889
34357,32932,0.049722222,21.85569065,1,0.01
32932,39377,0.027777778,39.12168578,1,0.01972222
39377,37871,0.027777778,39.12168578,11,0.010176768
37871,39419,0.034722222,31.29734907,11,0.010025252
37985,37790,0.033333333,32.6014054,9,0.011049383
37790,37479,0.027777778,39.12168578,10,0.010194444
37479,37319,0.031944444,34.01885794,10,0.011527778
37319,35048,0.031944444,34.01885794,1,0.01222222
37549,37376,0.037222222,29.1952883,8,0.015868056
1301,39599,0.037222222,29.1952883,3,0.015925923
39599,37821,0.028611111,37.98221965,4,0.02076389
37821,36006,0.025555556,42.5235711,2,0.020555555
36006,33611,0.014166667,46.65636702,2,0.016944445
38898,475,0.014444444,45.75913167,2,0.021527775
475,38779,0.015,44.06434766,2,0.014861115
38779,39589,0.015,44.06434766,5,0.015833332
38709,35423,0.017222222,38.37862588,1,0.01361111
38785,33621,0.014444444,45.75913167,7,0.008611111
33621,39774,0.014444444,45.75913167,2,0.00527778
39774,31966,0.015833333,41.74517235,9,0.013981481
31966,33539,0.014444444,45.75913167,8,0.017986111
33539,32092,0.016944444,39.0077842,7,0.024603174
32092,35356,0.014722222,44.89575113,6,0.018981482
35356,33229,0.014722222,44.89575113,3,0.018796297
33229,33126,0.015,44.06434766,4,0.015972223
33126,33273,0.015,44.06434766,4,0.015486112
32263,34991,0.015277778,43.26317708,2,0.01722222
34991,34994,0.006666667,51.81997919,2,0.01402778
34994,34791,0.006111111,56.53089024,2,0.015
34791,34840,0.006111111,56.53089024,1,0.01527777
39182,38782,0.007222222,47.83383081,3,0.016296297
38782,39556,0.008333333,41.45598708,1,0.02888889
39556,2022,0.006111111,56.53089024,1,0.03
2022,39036,0.006944444,49.74718569,1,0.02888889
1244,1241,0.006944444,49.74718569,2,0.025833335
1241,39443,0.006944444,49.74718569,1,0.02972222
39360,1235,0.005555556,62.18397316,1,0.02166667
1235,34295,0.005555556,62.18397316,1,0.02638888
35962,34942,0.005555556,62.18397316,1,0.02444445
34942,37241,0.006666667,51.81997919,1,0.02694444
39419,37641,0.006666667,51.81997919,10,0.017694445
37641,37985,0.006666667,51.81997919,9,0.016512346
37319,39413,0.007222222,47.83383081,5,0.017111112
39413,37549,0.010277778,51.1869401,5,0.016
37376,1199,0.008888889,59.18490003,1,0.01694444
1199,37831,0.010277778,51.1869401,1,0.01638889
37831,1301,0.010277778,51.1869401,3,0.0175
37821,39600,0.010277778,51.1869401,4,0.010555555
39600,1190,0.012222222,43.04356498,3,0.00675926
1190,1188,0.009444444,55.70343864,4,0.006388887
1188,1303,0.01,52.60880069,4,0.003680558
38909,34462,0.009722222,54.11191051,1,0.00388889
34462,32878,0.009722222,54.11191051,1,0.00388888
40509,31575,0.011111111,47.34792109,1,0.00444445
31575,32433,0.011111111,47.34792109,1,0.00333333
38775,38881,0.011111111,47.34792109,1,0.00388889
