,time_sum
0,0.043611111
1,0.108611111
2,0.139166667
3,0.193055555
4,0.223055555
5,0.236388888
6,0.269166666
7,0.449444443
8,0.631111109
9,0.929444441
10,1.298611111
11,1.725833333
12,1.931944446
13,2.021944447
14,2.242500002
15,2.453888892
16,3.142500003
17,3.554444449
18,3.936111115
19,4.16527778
20,4.778611113
21,5.54888889
22,5.905555556
23,6.229166667
24,6.56888889
25,7.38777778
26,7.847777779
27,8.570000002
28,8.809444446
29,8.890277781
30,9.379166671
31,9.630555561
32,9.757222226
33,9.935000003
34,10.01444445
35,10.16333334
36,10.54666667
37,10.71472223
38,11.01444445
39,11.18583334
40,11.37611112
41,11.43583334
42,11.45861112
43,11.47444445
44,11.50194445
45,11.53472223
46,11.59333334
47,11.635
48,11.72083334
49,11.97861111
50,12.20027778
51,12.42000001
52,12.57361111
53,12.68166667
54,12.9775
55,13.48972223
56,13.75527778
57,13.9863889
58,14.2163889
59,14.5188889
60,14.79555556
61,14.94777778
62,15.0013889
63,15.08166667
64,15.34583334
65,15.43000001
66,15.51500001
67,15.57250001
68,15.62666667
69,16.14500001
70,16.3788889
71,16.46500001
72,16.58305556
73,16.68805556
74,16.73777778
75,16.86000001
76,16.86583334
77,16.87166667
78,16.88222223
79,16.96250001
80,17.13750001
81,17.29500001
82,17.33250001
83,17.39027779
84,17.44666668
85,17.57305556
86,17.71472223
87,17.73750001
88,17.76277779
89,17.77861112
90,17.79444445
91,17.81083334
92,17.87027779
93,17.90611112
94,18.60861112
95,19.0113889
96,19.57583334
97,19.86666667
98,20.16611112
99,20.56500001
100,20.68222223
101,20.79250001
102,21.10500001
103,21.42194445
104,21.52666667
105,21.61750001
106,21.71027779
107,22.32916668
108,22.56472223
109,22.78361112
110,22.79416668
111,22.80611112
112,22.8238889
113,22.83472223
114,22.8488889
115,22.92750001
116,23.05694445
117,23.0913889
118,23.11861112
119,23.7863889
120,23.82055556
121,23.86111112
122,24.48833334
123,24.50000001
124,24.51666668
125,24.53833334
126,24.55333334
127,24.7888889
128,25.41972223
129,26.16944446
130,26.36500001
131,26.50861112
132,26.57583334
133,26.64333334
134,26.73833334
135,27.03666668
136,27.27444446
137,27.70194446
138,28.14916668
139,28.3538889
140,28.62500001
141,28.94583334
142,29.06500001
143,29.17000001
144,29.21944445
145,29.26833334
146,29.29277778
147,29.30305556
148,29.31972223
149,29.33222223
150,29.34222223
151,29.35666667
152,29.37611112
153,29.47750001
154,29.73000001
155,30.07916668
156,30.25833334
157,30.30027779
158,30.3613889
159,30.40527779
160,30.49666668
161,30.61666668
162,30.63111112
163,30.76694445
164,30.81361112
165,30.83250001
166,30.8738889
167,30.93250001
168,30.97833334
169,31.09555556
170,31.18305556
171,31.26805557
172,31.65194445
173,31.97805557
174,32.00083334
175,32.02416668
176,32.04222223
177,32.04722223
178,32.07527779
179,32.08305557
180,32.09000001
181,32.09583335
182,32.10583335
183,32.37472223
184,32.87027779
185,33.78416668
186,34.18972223
187,34.22833335
188,34.2363889
189,34.24444446
190,34.83416668
191,35.82972223
192,36.49472223
193,36.89305557
194,37.43083334
195,37.80250001
196,37.96083334
197,38.10805557
198,38.48694446
199,38.66833335
200,38.70027779
201,38.79972223
202,38.95277779
203,38.99611112
204,39.05583334
205,39.35083334
206,39.81222223
207,40.21277779
208,40.47750001
209,40.64750001
210,40.65722224
211,40.66833335
212,40.72472224
213,40.73666668
214,40.77833335
215,40.8113889
216,40.83416668
217,40.84472224
218,40.85444446
219,40.86527779
220,40.90583335
221,40.95111112
222,40.97333335
223,41.00444446
224,41.01611113
225,41.02500001
226,41.03527779
227,41.04555557
228,41.12833335
229,41.17833335
230,41.20722224
231,41.31333335
232,41.50972224
233,41.73416668
234,41.75805557
235,41.78194446
236,41.82222224
237,41.84305557
238,41.86694446
239,41.91694446
240,41.94611113
241,42.01527779
242,42.09777779
243,42.12194446
244,42.1813889
245,42.21166668
246,42.22972224
247,42.27666668
248,42.29333335
249,42.32500002
250,42.3313889
251,42.33777779
252,42.35250002
253,42.36083335
254,42.54166668
255,42.64194446
256,42.73583335
257,42.79166668
258,43.04861113
259,43.11111113
260,43.12750001
261,43.16027779
262,43.56055557
263,44.03722224
264,44.08555557
265,44.14055557
266,44.36583335
267,44.63694446
268,45.06472223
269,45.13833334
270,45.19194446
271,45.2288889
272,45.25777779
273,45.29361112
274,45.31166668
275,45.32611112
276,45.34055557
277,45.35750001
278,45.57833334
279,45.69083334
280,45.84111112
281,45.98444446
282,46.08666668
283,46.33111112
284,46.45055556
285,46.54583334
286,46.78166668
287,47.13472223
288,47.16777779
289,47.31416668
290,47.42472223
291,47.46666668
292,47.5113889
293,47.56833334
294,47.60277779
295,47.61555557
296,47.76583334
297,47.81250001
298,47.8313889
299,47.85027779
300,47.87277779
301,47.90222223
302,47.9313889
303,47.95333334
304,47.97722223
305,48.10944445
306,48.18194445
307,48.19750001
308,48.24916668
309,48.29777779
310,48.37250001
311,48.45694446
312,48.53250001
313,48.56861112
314,48.58583335
315,48.67583335
316,48.79583335
317,48.8463889
318,48.90166668
319,48.92222224
320,48.9488889
321,48.95750001
322,48.96833335
323,48.97694446
324,48.98694446
325,48.99972224
326,49.0113889
327,49.02305557
328,49.02805557
329,49.03277779
330,49.04111112
331,49.04611112
332,49.04972224
333,49.05444446
334,49.05916668
335,49.06472224
336,49.07416668
337,49.08194446
338,49.09861113
339,49.1213889
340,49.2863889
341,49.35694446
342,49.41555557
343,49.47027779
344,49.48416668
345,49.49722224
346,49.52111112
347,49.96527779
348,50.03805557
349,50.05333335
350,50.08583335
351,50.13333335
352,50.14750001
353,50.31083335
354,50.48694446
355,50.62333335
356,50.75250001
357,50.85166668
358,51.02111113
359,51.35777779
360,51.40527779
361,51.76111113
362,51.99583335
363,52.08777779
364,52.46305557
365,52.65472224
366,52.68166668
367,52.76500002
368,52.93055557
369,53.0888889
370,53.25416668
371,53.35972224
372,53.39777779
373,53.42472224
374,53.4338889
375,53.4438889
376,53.45944446
377,53.51194446
378,53.54111113
379,53.57083335
380,53.59916669
381,53.63472224
382,53.66888891
383,53.69638891
384,53.83388891
385,53.84472224
386,53.88916668
387,53.91722224
388,53.94833335
389,53.97805557
390,54.0177778
391,54.04472224
392,54.06861113
393,54.13333335
394,54.15138891
395,54.19722224
396,54.21472224
397,54.27722224
398,54.61805557
399,54.66416668
400,54.79888891
401,54.8802778
402,54.92638891
403,54.97333335
404,55.00861113
405,55.1313889
406,55.22750002
407,55.30000002
408,55.44666668
409,55.85055557
410,56.41555557
411,56.60916668
412,56.92555557
413,57.25027779
414,57.58500002
415,57.92222224
416,58.1327778
417,58.45055558
418,58.72250002
419,59.0802778
420,59.2302778
421,59.6527778
422,59.87111113
423,59.89416669
424,59.90861113
425,59.93861113
426,59.98638891
427,60.05444447
428,60.08000002
429,60.19583335
430,60.23444446
431,60.27055557
432,60.37944446
433,60.39000002
434,60.55722224
435,60.77333336
436,60.94250002
437,60.97083336
438,61.36250002
439,61.42694447
440,61.66194447
441,61.81722224
442,61.97694447
443,62.42638891
444,62.56472224
445,62.72555558
446,62.77805558
447,62.80972224
448,62.81972224
449,62.88888891
450,62.89555558
451,62.90361113
452,62.90972224
453,62.91694447
454,62.93083335
455,63.1052778
456,63.25166669
457,63.36194447
458,63.39444447
459,63.40583336
460,63.44944447
461,63.46388891
462,63.47472224
463,63.48388891
464,63.49444447
465,63.50472224
466,63.51361113
467,63.52361113
468,63.54805558
469,63.55666669
470,63.57694447
471,63.64722224
472,63.78055558
473,63.81166669
474,63.82916669
475,63.84388891
476,63.86138891
477,63.87638891
478,63.93888891
479,64.00111113
480,64.06694447
481,64.1452778
482,64.23805558
483,64.29388891
484,64.37694447
485,64.7452778
486,65.28833336
487,65.31361114
488,65.84000003
489,66.41083336
490,66.61472225
491,66.64027781
492,66.68805558
493,66.87888892
494,66.95361114
495,67.01333336
496,67.06444447
497,67.07250003
498,67.09083336
499,67.09750003
500,67.10250003
501,67.10750003
502,67.11527781
503,67.12694447
504,67.14055558
505,67.14972225
506,67.15722225
507,67.16583336
508,67.25555558
509,67.37972225
510,67.57083336
511,67.67805559
512,67.72638892
513,67.76055559
514,67.77611114
515,67.79250003
516,67.84111114
517,67.91194448
518,67.93388892
519,67.95527781
520,67.97777781
521,68.00444448
522,68.0316667
523,68.03861114
524,68.05055558
525,68.05972225
526,68.06972225
527,68.07972225
528,68.09305558
529,68.12750003
530,68.14250003
531,68.16277781
532,68.22111114
533,68.25305558
534,68.28777781
535,68.38194447
536,68.49555558
537,68.67055559
538,68.84833336
539,68.9041667
540,68.97972225
541,69.21944448
542,69.38777781
543,69.40333336
544,69.45222225
545,69.48555559
546,69.64222225
547,69.7991667
548,69.81611114
549,69.87472225
550,70.07694447
551,70.26000003
552,70.42333336
553,70.53472225
554,70.62472225
555,70.70138892
556,70.72500003
557,70.7591667
558,70.83500003
559,70.84500003
560,70.89888892
561,70.93500003
562,71.03361114
563,71.05861114
564,71.08222225
565,71.10888892
566,71.13055558
567,71.37222225
568,71.51972225
569,71.61277781
570,71.79083336
571,71.8691667
572,71.99638892
573,72.0491667
574,72.11083336
575,72.1916667
576,72.27305559
577,72.30000003
578,72.3616667
579,72.48722226
580,72.69222226
581,72.70472226
582,72.73055559
583,72.77694448
584,72.7916667
585,72.81750003
586,72.8241667
587,73.0091667
588,73.02722226
589,73.26194448
590,73.30138893
591,73.39250004
592,73.89194448
593,74.27805559
594,74.32722226
595,74.35944448
596,74.38583337
597,74.38777781
598,74.38944448
599,74.39083337
600,74.39277781
601,74.3941667
602,74.40750004
603,74.41138892
604,74.41361115
605,74.4241667
606,74.43222226
607,74.4391667
608,74.44472226
609,74.45027781
610,74.51333337
611,74.6566667
612,74.75777781
613,74.89833337
614,74.9316667
615,74.93888893
616,74.97944448
617,74.99638893
618,75.0191667
619,75.03111115
620,75.26638893
621,75.39805559
622,75.71194448
623,76.42833337
624,76.52500003
625,76.62944448
626,76.71305559
627,76.75055559
628,76.80888892
629,76.8566667
630,76.93944448
631,77.05833337
632,77.1466667
633,77.27388892
634,77.38027781
635,77.44194448
636,77.48611115
637,77.53277781
638,77.55333337
639,77.6741667
640,77.79111115
641,77.89138893
642,78.07138893
643,78.30055559
644,78.49277781
645,78.58972226
646,78.69194448
647,78.8141667
648,78.9066667
649,78.99944448
650,79.09722226
651,79.20916671
652,79.33194448
653,79.42000004
654,79.50166671
655,79.55916671
656,79.71361115
657,79.83833337
658,79.98083337
659,80.10611115
660,80.15861115
661,80.24833337
662,80.34444448
663,80.43638893
664,80.69027782
665,81.07000004
666,81.47861115
667,82.04388893
668,82.10500004
669,82.14500004
670,82.21666671
671,82.44888893
672,82.52166671
673,82.65750004
674,82.78888893
675,82.88388893
676,83.08861115
677,83.33861115
678,83.39138893
679,83.71888893
680,83.95166671
681,84.1730556
682,84.31777782
683,84.43444448
684,84.50472226
685,84.56694448
686,84.64083337
687,84.67583337
688,84.71694448
689,84.74750004
690,84.81333337
691,84.99638893
692,85.01333337
693,85.04861115
694,85.08250004
695,85.16750004
696,85.2166667
697,85.27861115
698,85.37638892
699,85.57888892
700,85.73277781
701,85.94388892
702,86.05777781
703,86.11388892
704,86.40694448
705,86.6916667
706,86.71833337
707,86.7291667
708,86.77083337
709,86.80055559
