,route_id_modified,trip_id_modified,stop_id_modified
0,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,1117
1,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,1115
2,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,1111
3,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,1109
4,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,39395
5,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,39394
6,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,4031
7,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,934
8,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,814
9,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,931
10,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,39295
11,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,39294
12,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,39293
13,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,39292
14,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,39291
15,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,39290
16,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,39289
17,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,39288
18,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,39296
19,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,39287
20,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,39286
21,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,859
22,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,39203
23,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,39589
24,100_18,NORMAL_100_Hinjawadi Maan Phase 3 to Ma Na Pa_Down-0840_0,36157
25,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,36156
26,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38709
27,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,2321
28,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38783
29,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38784
30,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38785
31,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,844
32,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38786
33,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38787
34,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38788
35,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38789
36,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38790
37,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38791
38,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38792
39,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38793
40,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,930
41,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,812
42,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,933
43,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,4030
44,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38912
45,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38913
46,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,1108
47,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,1110
48,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,1114
49,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,1116
50,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,1374
51,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38907
52,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38848
53,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38906
54,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38905
55,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,39123
56,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,38849
57,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0925_0,36156
58,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0925_0,38709
59,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0925_0,2321
60,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0925_0,38783
61,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0925_0,38784
62,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0925_0,38785
63,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0925_0,844
64,100_18,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0925_0,38786
